segmentnr	original	analyzed
SA_GP12_nardp2_u-0	uttarabhāgaḥ	uttarabhāgaḥ 
SA_GP12_nardp2_u-1	śrīgaṇeśāya namaḥ	śrī gaṇeśāya namaḥ 
SA_GP12_nardp2_u-2	śrīkṛṣṇāya namaḥ	śrī kṛṣṇāya namaḥ 
SA_GP12_nardp2_u-3	pāntu vo jaladaśyāmāḥ śārṅgajyāghātakarkaśāḥ /	pāntu vaḥ jalada śyāmāḥ śārṅga jyā ghāta karkaśāḥ 
SA_GP12_nardp2_u-4	trailokyamaṇḍapastaṃbhāścatvāro haribāhavaḥ // NarP_2,1.1 //	trailokya maṇḍapa staṃbhāḥ catvāraḥ hari bāhavaḥ 
SA_GP12_nardp2_u-5	surada suraśiroratnanighṛṣṭamaṇirañjitam /	            
SA_GP12_nardp2_u-6	haripādāṃbujadvandvamabhīṣṭaptadamastu naḥ // NarP_2,1.2 //	hari pāda aṃbuja dvandvam abhīṣṭapta dam astu naḥ 
SA_GP12_nardp2_u-7	māndhātovāca	māndhātā uvāca 
SA_GP12_nardp2_u-8	pāpendhanasya ghorasya śuṣkārdrasya dvijottama /	pāpa indhanasya ghorasya śuṣka ārdrasya dvijottama 
SA_GP12_nardp2_u-9	kovahnirdahate tasya tadbhavānvaktumarhati // NarP_2,1.3 //	kaḥ vahniḥ dahate tasya tat bhavān vaktum arhati 
SA_GP12_nardp2_u-10	nājñātaṃ triṣu lokeṣu caturmukhasamudbhava /	na a jñātam triṣu lokeṣu caturmukha samudbhava 
SA_GP12_nardp2_u-11	vidyate tava viprendra trividhasya suniścitam // NarP_2,1.4 //	vidyate tava vipra indra trividhasya su niścitam 
SA_GP12_nardp2_u-12	ajñātaṃ pātakaṃ śuṣkaṃ jñātaṃ cārdramudāhṛtam /	ajñātam pātakam śuṣkam jñātam ca ārdram udāhṛtam 
SA_GP12_nardp2_u-13	bhāvyaṃ vāpyathavātītaṃ vartamāna vadasva naḥ // NarP_2,1.5 //	bhāvyam vā api athavā atītam vartamāna vadasva naḥ 
SA_GP12_nardp2_u-14	vahnino kena tadbhasma bhavedetanmataṃ mama /	vahninā u kena tat bhasma bhavet etat matam mama 
SA_GP12_nardp2_u-15	vasiṣṭaṃ uvāca	vasiṣṭam uvāca 
SA_GP12_nardp2_u-16	śrūyatāṃ nṛpaśārdūla vahninā yena tadbhavet // NarP_2,1.6 //	śrūyatām nṛpa śārdūla vahninā yena tat bhavet 
SA_GP12_nardp2_u-17	bhasma śuṣkaṃ tathārdraṃ ca pāpamasya hyeśeṣataḥ // NarP_2,1.7 //	bhasma śuṣkam tathā ārdram ca pāpam asya hi eśeṣataḥ 
SA_GP12_nardp2_u-18	avāpya vāsaraṃ viṣṇoryo naraḥ saṃyatendriyaḥ /	avāpya vāsaram viṣṇoḥ yaḥ naraḥ saṃyata indriyaḥ 
SA_GP12_nardp2_u-19	upavāsaparo bhūtvā pūjayenmadhusūdanam // NarP_2,1.8 //	upavāsa paraḥ bhūtvā pūjayet madhusūdanam 
SA_GP12_nardp2_u-20	sa dhātrīsnānasahito rātrau jāgaraṇānvitaḥ /	sa dhātrī snāna sahitaḥ rātrau jāgaraṇa anvitaḥ 
SA_GP12_nardp2_u-21	viśodhayati pāpāni kitavo hi yathā dhanam // NarP_2,1.9 //	viśodhayati pāpāni kitavaḥ hi yathā dhanam 
SA_GP12_nardp2_u-22	ekadāśīsamākhyena vahninā pātakendhanam /	ekadāśī samākhyena vahninā pātaka indhanam 
SA_GP12_nardp2_u-23	bhasmatāṃ yāti rājendra api janmaśatodbhavam // NarP_2,1.10 //	bhasma tām yāti rāja indra api janma śata udbhavam 
SA_GP12_nardp2_u-24	nedṛśa pāvanaṃ kiñcinnārāṇāṃ bhūpa vidyate /	pāvanam kiñcid nārāṇām bhūpa vidyate 
SA_GP12_nardp2_u-25	yādṛśaṃ padmanābhasya dinaṃ pātakahānidam // NarP_2,1.11 //	yādṛśam padmanābhasya dinam pātaka hāni dam 
SA_GP12_nardp2_u-26	tāvatpāpāni dehe 'smiṃstiṣṭhanti manujādhipa /	tāvat pāpāni dehe smin tiṣṭhanti manuja adhipa 
SA_GP12_nardp2_u-27	yāvannopavasejjantuḥ padmanābhadimaṃ śubham // NarP_2,1.12 //	yāvat na upavaset jantuḥ padmanābhat imam śubham 
SA_GP12_nardp2_u-28	aśvamedhasahasrāṇi rājasūyaśatāni ca /	aśvamedha sahasrāṇi rājasūya śatāni ca 
SA_GP12_nardp2_u-29	ekādaśyupavāsasya kalāṃ nārhanti ṣoḍaśīm // NarP_2,1.13 //	ekādaśī upavāsasya kalām na arhanti ṣoḍaśīm 
SA_GP12_nardp2_u-30	ekādaśendriyaiḥ pāpaṃ yatkṛtaṃ bhavati prabho /	ekādaśa indriyaiḥ pāpam yat kṛtam bhavati prabho 
SA_GP12_nardp2_u-31	ekādaśyupavāsena tatsarvaṃ vilayaṃ vrajet // NarP_2,1.14 //	ekādaśī upavāsena tat sarvam vilayam vrajet 
SA_GP12_nardp2_u-32	ekādaśīsamaṃ kiñcitpāpanāśaṃ na vidyate /	ekādaśī samam kiñcid pāpa nāśam na vidyate 
SA_GP12_nardp2_u-33	vyājenāpi kṛtā rājanna darśayati bhāskarim // NarP_2,1.15 //	vyājena api kṛtā rājan na darśayati bhāskarim 
SA_GP12_nardp2_u-34	svargamokṣapradā hyeṣā rājyaputrapradāyinī /	svarga mokṣa pradā hi eṣā rājya putra pradāyinī 
SA_GP12_nardp2_u-35	sukalatrapradā hyeṣā śarīrārogyadāyinī // NarP_2,1.16 //	su kalatra pradā hi eṣā śarīra ārogya dāyinī 
SA_GP12_nardp2_u-36	na gaṅgā na gayā bhūpa na kāśī na ca puṣkaram /	na gaṅgā na gayā bhūpa na kāśī na ca puṣkaram 
SA_GP12_nardp2_u-37	na cāpi kairavaṃ kṣetraṃ na revā na ca devikā // NarP_2,1.17 //	na ca api kairavam kṣetram na revā na ca devikā 
SA_GP12_nardp2_u-38	yamunā candrabhāgā ca puṇyā bhūpa harerdināt /	yamunā candrabhāgā ca puṇyā bhūpa hareḥ dināt 
SA_GP12_nardp2_u-39	anāyāsena rājendra prāpyate harimandiram // NarP_2,1.18 //	anāyāsena rāja indra prāpyate hari mandiram 
SA_GP12_nardp2_u-40	rātrau jāmaraṇa kṛtvā samupoṣya harerdinam /	rātrau kṛtvā samupoṣya hareḥ dinam 
SA_GP12_nardp2_u-41	sarvapāpavinirmukto viṣṇuloke vrajennaraḥ // NarP_2,1.19 //	sarva pāpa vinirmuktaḥ viṣṇu loke vrajet naraḥ 
SA_GP12_nardp2_u-42	daśaiva mātṛke pakṣe daśa rājendra paitṛke /	daśa eva mātṛke pakṣe daśa rāja indra paitṛke 
SA_GP12_nardp2_u-43	bhāryāyā daśa pakṣe ca puruṣānuddharettathā // NarP_2,1.20 //	bhāryāyāḥ daśa pakṣe ca puruṣān uddharet tathā 
SA_GP12_nardp2_u-44	ātmānamapi rājendra sa nayedvaiṣṇavaṃ puram /	ātmānam api rāja indra sa nayet vaiṣṇavam puram 
SA_GP12_nardp2_u-45	cintāmaṇisamā hyeṣā athavāpi nidheḥ samā // NarP_2,1.21 //	cintāmaṇi samā hi eṣā athavā api nidheḥ samā 
SA_GP12_nardp2_u-46	saṃkalpapādapaprakhyā vedavākyopamāthavā /	saṃkalpa pādapa prakhyā veda vākya upamā athavā 
SA_GP12_nardp2_u-47	dvādaśīṃ ye prapannā hi narā naravarottama // NarP_2,1.22 //	dvādaśīm ye prapannāḥ hi narāḥ nara vara uttama 
SA_GP12_nardp2_u-48	te dvandvabāhavo jātā nāgārikṛtavāhanāḥ /	te dvandva bāhavaḥ jātāḥ nāga ari kṛta vāhanāḥ 
SA_GP12_nardp2_u-49	sragviṇaḥ pītavastrāśca prayānti harimandiram // NarP_2,1.23 //	sragviṇaḥ pīta vastrāḥ ca prayānti hari mandiram 
SA_GP12_nardp2_u-50	eṣa prabhāvo hi mayā dvādaśyāḥ parikīrtitaḥ /	eṣa prabhāvaḥ hi mayā dvādaśyāḥ parikīrtitaḥ 
SA_GP12_nardp2_u-51	pāpendhanasya ghorasya pāvakākhyo mahīpate // NarP_2,1.24 //	pāpa indhanasya ghorasya pāvaka ākhyaḥ mahīpate 
SA_GP12_nardp2_u-52	harerddinaṃ sadopoṣyaṃ narairdharmaparāyaṇaiḥ /	hareḥ dinam sadā upoṣyam naraiḥ dharma parāyaṇaiḥ 
SA_GP12_nardp2_u-53	icchadbhirvipulānyogānputrapautrādikāṃstathā // NarP_2,1.25 //	icchadbhiḥ vipulān yogān putra pautra ādikān tathā 
SA_GP12_nardp2_u-54	haridinamiha martyo yaḥ karotyādareṇa naravara sa tu kukṣiṃ māturāpnoti naiva /	hari dinam iha martyaḥ yaḥ karoti ādareṇa nara vara sa tu kukṣim mātuḥ āpnoti nā eva 
SA_GP12_nardp2_u-55	bahuvṛjinasameto 'kāmataḥ kāmato vā vrajati padamanantaṃ lokanāthasya viṣṇoḥ // NarP_2,1.26 //	kāmatas kāmatas vā vrajati padam anantam loka nāthasya viṣṇoḥ 
SA_GP12_nardp2_u-56	iti śrībṛhannāradīyapurāṇottarabhāge dvādaśīmāhātmyavarṇanaṃ nāma prathamo 'dhyāyaḥ	iti śrī bṛhat nāradīya purāṇa uttara bhāge dvādaśīmāhātmyavarṇanam nāma prathamaḥ dhyāyaḥ 
